market,date_cet,area,contractName,contractId,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,vwap,volume,priceUnit,volumeUnit
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-53,NX_574085,2026-03-01T12:00:00Z,2026-03-01T12:15:00Z,2026-03-01T13:00:00+01:00,2026-03-01T13:15:00+01:00,-5.32,823.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-54,NX_574086,2026-03-01T12:15:00Z,2026-03-01T12:30:00Z,2026-03-01T13:15:00+01:00,2026-03-01T13:30:00+01:00,-4.83,745.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-55,NX_574088,2026-03-01T12:30:00Z,2026-03-01T12:45:00Z,2026-03-01T13:30:00+01:00,2026-03-01T13:45:00+01:00,-4.87,689.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-56,NX_574089,2026-03-01T12:45:00Z,2026-03-01T13:00:00Z,2026-03-01T13:45:00+01:00,2026-03-01T14:00:00+01:00,-3.21,918.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-57,NX_574092,2026-03-01T13:00:00Z,2026-03-01T13:15:00Z,2026-03-01T14:00:00+01:00,2026-03-01T14:15:00+01:00,-2.02,2160.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-58,NX_574093,2026-03-01T13:15:00Z,2026-03-01T13:30:00Z,2026-03-01T14:15:00+01:00,2026-03-01T14:30:00+01:00,-2.01,1913.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-59,NX_574095,2026-03-01T13:30:00Z,2026-03-01T13:45:00Z,2026-03-01T14:30:00+01:00,2026-03-01T14:45:00+01:00,0.74,1334.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-60,NX_574096,2026-03-01T13:45:00Z,2026-03-01T14:00:00Z,2026-03-01T14:45:00+01:00,2026-03-01T15:00:00+01:00,0.73,1036.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-61,NX_574099,2026-03-01T14:00:00Z,2026-03-01T14:15:00Z,2026-03-01T15:00:00+01:00,2026-03-01T15:15:00+01:00,-4.39,913.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-62,NX_574100,2026-03-01T14:15:00Z,2026-03-01T14:30:00Z,2026-03-01T15:15:00+01:00,2026-03-01T15:30:00+01:00,-4.52,637.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-63,NX_574102,2026-03-01T14:30:00Z,2026-03-01T14:45:00Z,2026-03-01T15:30:00+01:00,2026-03-01T15:45:00+01:00,-5.6,531.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-64,NX_574103,2026-03-01T14:45:00Z,2026-03-01T15:00:00Z,2026-03-01T15:45:00+01:00,2026-03-01T16:00:00+01:00,-5.48,644.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-65,NX_574106,2026-03-01T15:00:00Z,2026-03-01T15:15:00Z,2026-03-01T16:00:00+01:00,2026-03-01T16:15:00+01:00,-1.14,410.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-66,NX_574107,2026-03-01T15:15:00Z,2026-03-01T15:30:00Z,2026-03-01T16:15:00+01:00,2026-03-01T16:30:00+01:00,-1.04,362.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-67,NX_574109,2026-03-01T15:30:00Z,2026-03-01T15:45:00Z,2026-03-01T16:30:00+01:00,2026-03-01T16:45:00+01:00,-0.52,478.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-68,NX_574133,2026-03-01T15:45:00Z,2026-03-01T16:00:00Z,2026-03-01T16:45:00+01:00,2026-03-01T17:00:00+01:00,-0.35,441.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-69,NX_574136,2026-03-01T16:00:00Z,2026-03-01T16:15:00Z,2026-03-01T17:00:00+01:00,2026-03-01T17:15:00+01:00,32.31,82.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-70,NX_574137,2026-03-01T16:15:00Z,2026-03-01T16:30:00Z,2026-03-01T17:15:00+01:00,2026-03-01T17:30:00+01:00,75.9,41.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-71,NX_574139,2026-03-01T16:30:00Z,2026-03-01T16:45:00Z,2026-03-01T17:30:00+01:00,2026-03-01T17:45:00+01:00,22.91,63.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-72,NX_574140,2026-03-01T16:45:00Z,2026-03-01T17:00:00Z,2026-03-01T17:45:00+01:00,2026-03-01T18:00:00+01:00,41.49,105.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-73,NX_574143,2026-03-01T17:00:00Z,2026-03-01T17:15:00Z,2026-03-01T18:00:00+01:00,2026-03-01T18:15:00+01:00,4.29,98.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-74,NX_574144,2026-03-01T17:15:00Z,2026-03-01T17:30:00Z,2026-03-01T18:15:00+01:00,2026-03-01T18:30:00+01:00,17.71,35.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-75,NX_574146,2026-03-01T17:30:00Z,2026-03-01T17:45:00Z,2026-03-01T18:30:00+01:00,2026-03-01T18:45:00+01:00,28.8,25.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-76,NX_574147,2026-03-01T17:45:00Z,2026-03-01T18:00:00Z,2026-03-01T18:45:00+01:00,2026-03-01T19:00:00+01:00,39.37,30.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-77,NX_574150,2026-03-01T18:00:00Z,2026-03-01T18:15:00Z,2026-03-01T19:00:00+01:00,2026-03-01T19:15:00+01:00,35.52,15.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-78,NX_574151,2026-03-01T18:15:00Z,2026-03-01T18:30:00Z,2026-03-01T19:15:00+01:00,2026-03-01T19:30:00+01:00,45.19,38.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-79,NX_574153,2026-03-01T18:30:00Z,2026-03-01T18:45:00Z,2026-03-01T19:30:00+01:00,2026-03-01T19:45:00+01:00,42.46,5.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-80,NX_574154,2026-03-01T18:45:00Z,2026-03-01T19:00:00Z,2026-03-01T19:45:00+01:00,2026-03-01T20:00:00+01:00,13.59,200.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-81,NX_574157,2026-03-01T19:00:00Z,2026-03-01T19:15:00Z,2026-03-01T20:00:00+01:00,2026-03-01T20:15:00+01:00,35.73,804.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-82,NX_574158,2026-03-01T19:15:00Z,2026-03-01T19:30:00Z,2026-03-01T20:15:00+01:00,2026-03-01T20:30:00+01:00,34.0,705.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-83,NX_574160,2026-03-01T19:30:00Z,2026-03-01T19:45:00Z,2026-03-01T20:30:00+01:00,2026-03-01T20:45:00+01:00,31.08,675.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-84,NX_574162,2026-03-01T19:45:00Z,2026-03-01T20:00:00Z,2026-03-01T20:45:00+01:00,2026-03-01T21:00:00+01:00,15.07,979.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-85,NX_574165,2026-03-01T20:00:00Z,2026-03-01T20:15:00Z,2026-03-01T21:00:00+01:00,2026-03-01T21:15:00+01:00,41.29,1207.3,EUR/MWh,MW
